transaction_id,merchant,amount,date
txn_1000,"Rodriguez, Figueroa and Sanchez",32151.63,2026-08-01
txn_1001,Doyle Ltd,7407.13,2026-08-04
txn_1002,"Mcclain, Miller and Henderson",44662.89,2026-08-03
txn_1003,Davis and Sons,2073.24,2026-08-03
txn_1004,"Guzman, Hoffman and Baldwin",25515.09,2026-08-01
txn_1005,"Gardner, Robinson and Lawrence",35942.97,2026-08-18
txn_1006,Blake and Sons,22735.85,2026-08-09
txn_1007,"Henderson, Ramirez and Lewis",40388.05,2026-08-14
txn_1008,Garcia-James,8196.24,2026-08-11
txn_1009,Abbott-Munoz,19306.4,2026-08-12
txn_1010,Blair PLC,27043.29,2026-08-13
txn_1011,Dudley Group,15012.32,2026-08-21
txn_1012,Arnold Ltd,43154.49,2026-08-19
txn_1013,"Mcclure, Ward and Lee",3942.98,2026-08-08
txn_1014,Williams and Sons,42838.23,2026-08-04
txn_1015,Galloway-Wyatt,22943.81,2026-08-12
txn_1016,James Group,18085.9,2026-08-09
txn_1017,"Flowers, Martin and Kelly",4034.42,2026-08-21
txn_1018,"Adams, Zuniga and Wong",36591.78,2026-08-06
txn_1019,"Reid, Ferguson and Sanchez",13862.42,2026-08-21
txn_1020,Gray-Mayo,11370.95,2026-08-11
txn_1021,"Hawkins, Cohen and Cameron",40349.77,2026-08-13
txn_1022,Perez Inc,10943.65,2026-08-19
txn_1023,Morales-Jones,44291.82,2026-08-21
txn_1024,"Walter, Edwards and Rios",13611.57,2026-08-08
txn_1025,Wilkerson-Day,37477.18,2026-08-14
txn_1026,Taylor-Mcgee,25721.55,2026-08-03
txn_1027,"Baker, Richards and Hurst",8065.65,2026-08-06
txn_1028,Cox-Osborn,3644.62,2026-08-13
txn_1029,Hicks Inc,23668.47,2026-08-09
txn_1030,Callahan and Sons,43108.6,2026-08-01
txn_1031,"Moore, Becker and Carlson",6170.31,2026-08-18
txn_1032,James-Ferrell,17338.69,2026-08-10
txn_1033,"King, Tran and Dunlap",22959.32,2026-08-09
txn_1034,"Le, Maldonado and Herrera",38217.13,2026-08-17
txn_1035,"Peterson, Carter and Moore",8065.54,2026-08-06
txn_1036,Mckay Ltd,39042.01,2026-08-17
txn_1037,"Gill, Romero and Rodriguez",46490.38,2026-08-10
txn_1038,"Evans, Fowler and Lynch",12423.14,2026-08-19
txn_1039,Brooks and Sons,4739.85,2026-08-16
txn_1040,"Ashley, Nielsen and Sellers",26868.96,2026-08-05
txn_1041,"Nguyen, Smith and Hickman",24026.48,2026-08-18
txn_1042,Allen-Allen,26619.85,2026-08-20
txn_1043,"Arroyo, Miller and Tucker",10984.01,2026-08-18
txn_1044,Spence PLC,35790.97,2026-08-13
txn_1045,Anderson Group,32668.96,2026-08-15
txn_1046,"Martin, Rose and Obrien",17235.24,2026-08-19
txn_1047,Hickman Ltd,29627.79,2026-08-01
txn_1048,"Harris, Collins and Carney",31739.6,2026-08-08
txn_1049,"Brooks, Lam and Hayes",2054.94,2026-08-11
txn_1050,Walker LLC,12281.23,2026-08-16
txn_1051,Chapman and Sons,7049.44,2026-08-19
txn_1052,"Robinson, Jones and Welch",12528.36,2026-08-16
txn_1053,Jones Inc,5298.08,2026-08-14
txn_1054,Jones-Young,20849.56,2026-08-02
txn_1055,"Washington, Ryan and Cummings",49216.18,2026-08-04
txn_1056,"Johnston, Sanchez and Kennedy",36546.57,2026-08-04
txn_1057,Lee-Davis,9915.34,2026-08-15
txn_1058,Gomez-Jenkins,9582.66,2026-08-15
txn_1059,"Brown, Valdez and Lucas",46201.65,2026-08-15
txn_1060,Powell LLC,5346.48,2026-08-21
txn_1061,Wright and Sons,41883.37,2026-08-03
txn_1062,"West, Henderson and Ramirez",42510.44,2026-08-06
txn_1063,Baxter Inc,24327.24,2026-08-13
